"%d Review(s)","%d مشاهدة(s)"
"%s Review(s)","%s مشاهدة(s)"
"(Posted on %s)","(تلصق في %s)"
"1 star","1 نجمة"
"2 stars","2 نجوم"
"3 stars","3 نجوم"
"4 stars","4 نجوم"
"5 stars","5 نجوم"
"Add Items to Cart","Add Items to Cart"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Availability: In stock.","Availability: In stock."
"Availability: Out of stock.","Availability: Out of stock."
"Buy %s for %s","Buy %s for %s"
"OR","OR"
"SKU","SKU"
"How do you rate this product?","كيف تقيم هذا المنتج؟"
"All Reviews","كل التقييمات"
"Be the first to review this product","كن أول من يراجع هذا المنتج"
"Write Your Own Review","كتابة مراجعتك"
"Your review has been accepted for moderation","لقد تم قبول مراجعتك للإشراف"
"Back","للخلف"
"You have submitted no reviews.","لم تقم بإرسال أية مراجعات."
"Unable to post review. Please, try again later.","لا يمكن نشر المراجعة. من فضلك حاول مرة أخرى."
"Are you sure you want to do this?","هل أنت متأكد من فعل ذلك؟"
"Are you sure?","هل أنت متأكد؟"
"Summary of Your Review","ملخص مراجعتك"
"Summary of review","ملخص المراجعة"
"Summary of Review","ملخص المراجعة"
"Please select a product","من فضلك قم باختيار منتج"
"Please select one of each of the ratings above","من فضلك قم باختيار إحدي التقييمات بالأعلى"
"Product SKU","منتج SKU"
"Average Customer Rating","متوسط تقييم العميل"
"Average Customer Rating:","متوسط تقييم العميل:"
"Product Reviews","مراجعات المنتج"
"Customer Reviews","مراجعات العميل"
"New Review","مراجعة جديدة"
"Your Review (submitted on %s):","مراجعتك (أرسلت في %s):"
"Store Views","مشاهدات المتجر"
"Visible Ins","Visible Ins"
"Zoom In","Zoom In"
"Zoom Out","Zoom Out"
"You're reviewing: %s","أنت تراجع: %s"
"Submit Review","إرسال مراجعة"
"Add New Review","إضافة تقييم جديد"
"Add Your Review","إضافة تقييمك"
"Qty","الكمية"
"Nickname","اللقب"
"Type","النوع"
"Product","المنتج"
"Administrator","المدير"
"Review","المراجعة"
"Name","الاسم"
"Name In Store","الاسم بالمتجر"
"Detailed Rating","التقييم المفصل"
"Rating:","التقييم:"
"Status","الحالة"
"ID","الرمز التعريفي"
"Price","السعر"
"Back to Product Reviews","العودة لمراجعات المنتج"
"Back to Main Product Info","العودة إلى بيانات المنتج الرئيسية"
"Back to My Reviews","العودة إلى تقييماتي"
"Title","العنوان"
"Customer","العميل"
"Posted By","الصقت بواسطة"
"Created On","انشئت في"
"Product Name","اسم المنتج"
"My Product Reviews","استعراضات منتجاتي"
"Product Review (submitted on %s):","استعراضات المنتج (الصقت في  %s):"
"My Recent Reviews","استعراضاتي الاخيرة"
"Review by %s","استعرضت بواسطة %s"
"Review Details","تفاصيل المراجعة"
"Summary Rating","تقييم الملخص"
"Product Rating","تقييم المنتج"
"Product Rating:","تقييم المنتج:"
"Your Rating:","تقييمك:"
"Edit Review '%s'","تحرير المراجعة '%s'"
"Pending Reviews","تعليق الاستعراضات"
"Save Review","حفظ المراجعة"
"Update status","حالة التحديث"
"Delete","حذف"
"Delete Review","حذف مراجعة"
"Guest","زائر"
"Visible In","ظهرت في "
"View All Reviews","عرض كل المراجعات"
"View Details","عرض التفاصيل"
